,NETWORTH,INCOME,FIN,NFIN,DEBT,EQUITY,STOCKS,HHOUSES,BUS,RETQLIQ,YESFINRISK,SPENDMOR,LATE,EMERGSAV,LIQ,FINLIT,AGE,EDUC,MARRIED,KIDS,OCCAT1,RET_ASSETS
0,762100.0,38804.734469,258100,699000.0,195000,49000.0,0,1,0,245000,0,5,0,1,13100,1,70,9,2,2,3,503100
5,721800.0,224829.65932,140500,1100000.0,518700,30000.0,0,1,460000,100000,0,3,0,1,40500,3,46,12,2,0,2,240500
10,43597590.0,445335.67134,60492890,684700.0,17580000,60482000.0,59680000,1,0,459000,0,3,1,1,10890,3,68,14,1,0,3,60951890
15,2203000.0,152408.56713,2163000,40000.0,0,1724000.0,0,0,0,1499000,0,3,0,1,164000,3,74,12,2,0,3,3662000
20,4100.0,56207.41483,1100,14000.0,11000,0.0,0,0,0,0,0,2,0,0,1100,0,19,8,1,0,1,1100
25,7232000.0,283198.8978,5728000,1615000.0,111000,4520750.0,4200000,1,0,795000,0,5,0,0,184000,2,74,12,1,0,3,6523000
30,70669800.0,13435733.968,13436800,57233000.0,0,10913000.0,6340000,1,40650000,1729500,0,2,0,1,117000,3,52,13,1,1,2,15166300
35,1500.0,39993.737475,1500,0.0,0,0.0,0,0,0,0,0,3,0,0,1500,1,60,12,2,0,3,1500
40,6406100.0,670165.33066,295000,7036100.0,925000,80000.0,80000,1,3210000,0,1,5,0,1,215000,3,43,12,1,2,2,295000
45,211350.0,43236.472946,27950,366800.0,183400,0.0,0,1,0,0,0,4,1,0,27950,2,67,12,1,0,3,27950
50,324500.0,211858.71743,20500,486000.0,182000,0.0,0,1,0,0,0,2,0,1,20500,3,46,13,2,0,1,20500
55,1320.0,42155.561122,1950,10000.0,10630,0.0,0,0,0,0,0,5,0,1,1950,2,51,9,2,1,1,1950
60,217000.0,18915.956914,204000,13000.0,0,41000.0,0,0,0,41000,0,3,0,1,13000,3,77,12,2,0,3,245000
65,422190.0,58369.238477,510,545000.0,123320,0.0,0,1,0,0,0,2,0,0,510,0,57,8,2,2,1,510
70,-163980.0,113495.74148,43620,36000.0,243600,450.0,0,0,0,7350,0,2,0,1,36020,2,30,13,1,0,1,50970
75,292790.0,55126.503006,3290,311800.0,22300,0.0,0,1,0,0,0,4,0,0,3290,0,56,8,1,1,1,3290
80,22750.0,22699.148297,2650,20700.0,600,0.0,0,1,0,0,0,5,1,0,2650,2,70,4,1,0,3,2650
85,1051200.0,81068.386774,428100,623100.0,0,0.0,0,1,0,320000,0,5,0,0,58100,1,57,8,1,0,3,748100
90,44000.0,49721.943888,13000,31000.0,0,0.0,0,0,10000,0,0,4,0,0,13000,2,32,12,2,0,2,13000
95,84500.0,86472.945892,2500,227800.0,145800,0.0,0,1,0,0,1,4,0,0,2500,3,46,13,2,0,1,2500
100,46867500.0,1887272.0441,31082000,15785500.0,0,19910000.0,19280000,1,13970000,1260000,0,5,0,1,207000,2,75,12,1,0,2,32342000
105,3435200.0,306978.95792,2877200,558000.0,0,936150.0,50000,1,0,2298000,0,1,0,1,425200,3,52,12,1,2,1,5175200
110,82900.0,57288.326653,1000,115700.0,33800,0.0,0,1,0,0,0,3,0,0,1000,3,62,10,1,0,3,1000
115,2391000.0,324273.54709,1598000,958000.0,165000,969250.0,133000,1,0,545000,0,4,0,1,220000,3,63,14,1,0,1,2143000
120,86456000.0,3480536.0721,11540000,75696000.0,780000,8770000.0,5000000,1,60000000,4970000,0,2,0,1,1570000,3,57,12,1,0,2,16510000
125,2620.0,42155.561122,2420,10000.0,9800,2000.0,0,0,0,2000,0,4,1,0,320,0,41,8,2,3,1,4420
130,520.0,12970.941884,520,0.0,0,0.0,0,0,0,0,0,5,0,0,520,2,19,9,2,0,4,520
135,-700.0,71340.180361,300,0.0,1000,0.0,0,0,0,0,0,4,1,0,300,2,51,8,1,1,1,300
140,432700.0,43236.472946,3700,557000.0,128000,0.0,0,0,500000,0,0,4,0,0,3700,1,62,11,2,0,1,3700
145,2720900.0,95120.240481,1445000,1275900.0,0,494000.0,222000,1,29000,680000,0,4,0,1,230000,3,68,12,1,0,3,2125000
150,7760.0,43236.472946,960,6800.0,0,0.0,0,0,0,0,1,2,0,1,960,2,23,9,2,0,1,960
155,357500.0,324273.54709,36000,762000.0,440500,30000.0,0,1,23000,30000,0,2,0,0,6000,3,52,8,1,0,1,66000
160,87400.0,70259.268537,22500,106700.0,41800,22000.0,0,1,0,22000,0,5,0,0,500,2,42,11,2,1,1,44500
165,4876500.0,717725.4509,1932500,3582000.0,638000,661000.0,0,1,0,775000,0,2,0,1,1022500,3,42,12,1,2,1,2707500
170,445800.0,54045.591182,1000,704800.0,260000,0.0,0,1,0,0,0,3,0,0,1000,2,50,12,2,0,1,1000
175,24000.0,36751.002004,9000,15000.0,0,0.0,0,0,0,0,0,5,0,0,2000,2,49,3,1,0,2,9000
180,14100.0,54045.591182,800,13300.0,0,0.0,0,0,0,0,0,4,0,0,800,2,55,6,1,0,1,800
185,42184000.0,6409807.1142,22731000,19453000.0,0,6471200.0,0,1,904000,7269000,0,2,0,1,10290000,3,67,14,1,0,2,30000000
190,615000.0,9728.2064128,4000,684000.0,73000,0.0,0,1,20000,0,0,5,0,0,4000,2,60,8,2,0,1,4000
195,158900.0,171864.97996,114400,282000.0,237500,90250.0,1000,1,0,105000,0,5,0,0,8400,3,52,13,1,0,1,219400
200,350430.0,16213.677355,288920,63000.0,1490,265000.0,0,1,0,265000,0,4,1,1,1920,2,69,11,1,1,3,553920
205,20690.0,48641.032064,19400,40000.0,38710,0.0,0,0,0,0,1,5,0,0,11400,3,73,8,2,0,1,19400
210,100.0,12970.941884,100,0.0,0,0.0,0,0,0,0,0,2,0,0,100,1,68,4,2,0,3,100
215,101300.0,3891.2825651,106300,100000.0,105000,0.0,0,1,0,0,0,4,1,0,300,2,36,10,2,0,4,106300
220,5000.0,10809.118236,2200,5800.0,3000,0.0,0,0,0,0,0,1,1,0,2000,1,53,8,2,0,1,2200
225,1167030.0,75663.827655,1044300,164000.0,41270,782750.0,269000,1,0,650000,0,4,0,1,10300,2,81,12,2,1,3,1694300
230,20700.0,86472.945892,21800,4900.0,6000,0.0,0,0,0,0,0,5,0,1,21800,2,61,9,2,0,2,21800
235,6288100.0,1020380.7615,769100,6373000.0,854000,173800.0,10000,1,4500000,250000,1,5,0,0,189100,3,55,12,1,1,2,1019100
240,55896000.0,5577505.01,28306000,31060000.0,3470000,23414600.0,1970000,1,21720000,2230000,0,2,0,1,606000,3,61,12,1,0,2,30536000
245,921100.0,281037.07415,673000,713000.0,464900,431000.0,4000,1,0,610000,0,5,0,1,59000,2,56,12,1,3,1,1283000
250,800000.0,255095.19038,111000,1800000.0,1111000,60000.0,60000,1,0,0,0,4,0,1,46000,3,39,14,1,2,1,111000
255,75090.0,22699.148297,90,75000.0,0,0.0,0,1,0,0,0,1,0,0,90,2,50,8,1,5,4,90
260,4097000.0,297250.7515,2783000,1314000.0,0,1162500.0,0,0,750000,2345000,0,4,0,1,38000,3,57,12,1,0,2,5128000
265,-54320.0,64854.709419,680,0.0,55000,0.0,0,0,0,0,0,2,1,0,680,2,39,12,2,0,1,680
270,12980.0,63773.797595,2670,45310.0,35000,780.0,780,0,10,0,0,4,0,0,1890,3,25,8,1,0,1,2670
275,242800.0,79987.47495,9000,387800.0,154000,0.0,0,1,0,0,0,2,0,1,9000,3,54,9,2,2,1,9000
280,155900.0,127547.59519,4500,300000.0,148600,0.0,0,1,0,0,0,2,0,0,4500,2,58,9,1,1,3,4500
285,-17495.0,6485.4709419,3055,19000.0,39550,0.0,0,0,0,1100,0,5,0,0,1955,2,34,8,2,0,1,4155
290,412500.0,136194.88978,108500,304000.0,0,0.0,0,1,0,0,0,5,0,1,98500,3,63,13,2,0,1,108500
295,9803500.0,2561761.022,2467500,9386000.0,2050000,2215000.0,260000,1,2500000,1955000,0,2,0,0,252500,3,65,13,2,0,2,4422500
300,10354000.0,1189003.006,3922000,9880000.0,3448000,2679100.0,1080000,1,1860000,1491000,0,1,0,1,51000,3,58,12,1,0,2,5413000
305,28221.0,30265.531062,221,28300.0,300,0.0,0,0,0,0,0,5,0,0,221,2,50,10,1,0,3,221
310,936000.0,114576.65331,456000,545500.0,65500,64300.0,0,1,291500,362000,0,5,0,0,57000,3,53,8,1,0,2,818000
315,518750.0,237800.6012,63000,751000.0,295250,49000.0,0,1,100000,49000,0,4,0,1,14000,3,37,12,1,0,1,112000
320,105400.0,102686.62325,15500,320000.0,230100,0.0,0,1,0,0,0,3,0,1,15500,2,35,13,1,2,1,15500
325,1715710.0,404261.02204,639000,2020000.0,943290,155000.0,10000,1,500000,125000,0,4,0,1,484000,2,33,12,1,0,2,764000
330,58000.0,27022.795591,30000,28000.0,0,0.0,0,1,0,0,0,5,0,0,30000,1,90,4,2,0,3,30000
