,LOG_LIQ,EDUC,LOG_INCOME,HHOUSES,AGE,FINLIT,EMERGSAV,KIDS,MARRIED,OCCAT1,YESFINRISK,LOG_DEBT,SPENDMOR,LATE,LOG_RET_ASSETS
0,9.48044384215367,9,10.566323310283456,1,70,1,1,2,2,3,0,12.180759965737863,5,0,13.12854622415384
5,10.609081944147828,12,12.323102772577545,1,46,3,1,0,2,2,0,13.159082888234298,3,0,12.390479526523466
10,9.295692039075686,14,13.00658583990648,1,68,3,1,0,1,3,0,16.682272507104123,3,1,17.925595438840958
15,12.00762780434872,12,11.934326696707894,0,74,3,1,0,2,3,0,0.0,3,0,15.113520277291379
20,7.00397413672268,8,10.936821754744528,0,19,0,0,0,1,1,0,9.305741456739435,2,0,7.00397413672268
25,12.122696471358964,12,12.553908279925931,1,74,2,0,0,1,3,0,11.6172944892629,5,0,15.690845104081916
30,11.669937760751914,13,16.413428504006223,1,52,3,1,1,1,2,0,0.0,2,0,16.53458648507231
35,7.313886831633462,12,10.596503161315887,0,60,1,0,0,2,3,0,0.0,3,0,7.313886831633462
40,12.278397958261774,12,13.415281215273463,1,43,3,1,2,1,2,1,13.73755009757506,5,0,12.59473402514672
45,10.238208256118535,12,10.674462827538377,1,67,2,0,0,1,3,0,12.11943029135234,4,1,10.238208256118535
50,9.928228944424575,13,12.263679624391456,1,46,3,1,0,2,1,0,12.111767460549332,2,0,9.928228944424575
55,7.576097340623111,9,10.64914561257346,0,51,2,1,1,2,1,0,9.271529540288606,5,0,7.576097340623111
60,9.472781556562168,12,9.847813990029195,0,77,3,1,0,2,3,0,0.0,3,0,12.409017571151187
65,6.236369590203704,8,10.974561423798537,1,57,0,0,2,2,1,0,11.722545990951964,2,0,6.236369590203704
70,10.491857380698828,13,11.639529406064158,0,30,2,1,0,1,1,0,12.403286919899765,2,0,10.839012122525581
75,8.098946748943339,8,10.91740401772286,1,56,0,0,1,1,1,0,10.012386799492118,4,0,8.098946748943339
80,7.8826922062890254,4,10.030126736355644,1,70,2,0,0,1,3,0,6.398594934535208,5,1,7.8826922062890254
85,10.969938154395841,8,11.30306069379871,1,57,1,0,0,1,3,0,0.0,5,0,13.525293274579292
90,9.472781556562168,12,10.814221753204105,0,32,2,0,0,2,2,0,0.0,4,0,9.472781556562168
95,7.824445930877619,13,11.367598443988374,1,46,3,0,0,2,1,1,11.889997957243736,4,0,7.824445930877619
100,12.240478903153711,12,14.4506435113393,1,75,2,1,0,1,2,0,0.0,5,0,17.291877284039572
105,12.960317277281595,12,12.634537740790055,1,52,3,1,2,1,1,0,0.0,1,0,15.459388736941142
110,6.90875477931522,10,10.95586961402582,1,62,3,0,0,1,3,0,10.428245666832275,3,0,6.90875477931522
115,12.301387370778713,14,12.689345803522986,1,63,3,1,0,1,1,0,12.013706813470414,4,0,14.577717741091163
120,14.266586814266963,12,15.062697170906063,1,57,3,1,0,1,2,0,13.567050480716235,2,0,16.61947687646566
125,5.771441123130016,8,10.64914561257346,0,41,0,0,3,2,1,0,9.19023970026918,4,1,8.394121193826242
130,6.255750041753367,9,9.470543987306165,0,19,2,0,0,2,4,0,0.0,5,0,6.255750041753367
135,5.707110264748875,8,11.175229004346514,0,51,2,0,1,1,1,0,6.90875477931522,4,1,5.707110264748875
140,8.216358332386156,11,10.674462827538377,0,62,1,0,0,2,1,0,11.759793355371237,4,0,8.216358332386156
145,12.345838935721968,12,11.462907572501242,1,68,3,1,0,1,3,0,0.0,4,0,14.56928283092878
150,6.8679744089702925,9,10.674462827538377,0,23,2,1,0,2,1,1,0.0,2,0,6.8679744089702925
155,8.699681400989514,8,12.689345803522986,1,52,3,0,0,1,1,0,12.995667994503354,2,0,11.097425172408931
160,6.2166061010848646,11,11.159961747859198,1,42,2,0,1,2,1,0,10.640675541671662,5,0,10.703266939811954
165,13.837762144893725,12,13.483843787831688,1,42,3,1,2,1,1,0,13.366095129723817,2,0,14.811536627201628
170,6.90875477931522,12,10.897601753215403,1,50,2,0,0,2,1,0,12.468440756144114,3,0,6.90875477931522
175,7.601402334583733,3,10.511947979456522,0,49,2,0,0,1,2,0,0.0,5,0,9.105090961257085
180,6.68586094706836,6,10.897601753215403,0,55,2,0,0,1,1,0,0.0,4,0,6.68586094706836
185,16.14668320499196,14,15.673339893066565,1,67,3,1,0,1,2,0,0.0,2,0,17.216707972959764
190,8.294299608857235,8,9.182887610990473,1,60,2,0,0,2,1,0,11.19822841866684,5,0,8.294299608857235
195,9.036106025364846,13,12.05447026579311,1,52,3,0,0,1,1,0,12.377927112974284,5,0,12.29865638469802
200,7.560601162768557,11,9.69367212060944,1,69,2,1,1,1,3,0,7.307202314764738,4,1,13.224777356283198
205,9.34145634983372,8,10.792243293398966,0,73,3,0,0,2,1,1,10.563879076356082,5,0,9.873079890114703
210,4.61512051684126,4,9.470543987306165,0,68,1,0,0,2,3,0,0.0,2,0,4.61512051684126
215,5.707110264748875,10,8.266751042186463,1,36,2,0,0,2,4,0,11.561725152903833,4,1,11.574029971623514
220,7.601402334583733,8,9.288237848223762,0,53,1,0,0,2,1,0,8.006700845440367,1,1,7.696667081526462
225,9.239996256883693,12,11.234068703381137,1,81,2,1,1,2,3,0,10.627915353129104,4,0,14.342780824360272
230,9.989711119284745,9,11.367598443988374,0,61,2,1,0,2,2,0,8.699681400989514,5,0,9.989711119284745
235,12.150036542839864,12,13.835687391217062,1,55,3,0,1,1,2,1,13.657687643730208,5,0,13.834431424074277
240,13.314636915215106,12,15.534252282831947,1,61,3,1,0,1,2,0,15.05966544010744,2,0,17.234416906155435
245,10.985309671896763,12,12.546245434332967,1,56,2,1,3,1,1,0,13.049579758676577,5,0,14.064712423020696
250,10.736418414365376,14,12.44939597018852,1,39,3,1,2,1,1,0,13.920771968711371,4,0,11.6172944892629
255,4.51085950651685,8,10.030126736355644,1,50,2,0,5,1,4,0,0.0,1,0,4.51085950651685
260,10.545367754151743,12,12.602334706882178,0,57,3,1,0,1,2,0,0.0,4,0,15.450226472590424
265,6.523562306149512,12,11.079920226254767,0,39,2,0,0,2,1,0,10.915106645867503,2,1,6.523562306149512
270,7.544861068658458,8,11.063113369269185,0,25,3,0,0,1,1,0,10.463131911491967,4,0,7.890208213109961
275,9.105090961257085,9,11.28963784015293,1,54,3,1,2,2,1,0,11.944714374881176,2,0,9.105090961257085
280,8.412054873292933,9,11.756252709710795,1,58,2,0,1,1,3,0,11.909020140718255,2,0,8.412054873292933
285,7.578656850594762,8,8.777473893219948,0,34,2,0,0,2,1,0,10.585346257326217,5,0,8.332308352219117
290,11.49782197939291,13,11.821849494415464,1,63,3,1,0,2,1,0,0.0,5,0,11.59451466851004
295,12.439170488085749,13,14.756205869536675,1,65,3,0,0,2,2,0,14.53335083891935,2,0,15.302215931132501
300,10.839600519357369,12,13.988626544885074,1,58,3,1,0,1,2,0,15.05330520078888,1,0,15.504314210519537
305,5.402677381872279,10,10.31779779558084,0,50,2,0,0,1,3,0,5.707110264748875,5,0,5.402677381872279
310,10.950824090522445,8,11.649008066953392,1,53,3,0,0,1,2,0,11.089820688682373,5,0,13.614618838078025
315,9.546884034617925,12,12.379191996605552,1,37,3,1,0,1,1,0,12.595581121014076,4,0,11.626263078808801
320,9.648659816955295,13,11.53944687502236,1,35,2,1,2,1,1,0,12.346273621950562,3,0,9.648659816955295
325,13.089842251812337,12,12.909818516118985,1,33,2,1,0,1,2,0,13.75713010361925,4,0,13.546324377048325
330,10.308985993422082,4,10.204473075038809,1,90,1,0,0,2,3,0,0.0,5,0,10.308985993422082
335,0.0,13,9.930047914868675,0,74,3,0,0,2,3,0,0.0,5,0,0.0
340,10.877688637695117,9,11.190266672490848,0,44,2,0,0,1,1,0,10.645448706505872,5,0,12.037541561549427
